Sample,depth,ring,treatment,plant,hf_perC,hf_isoC,hf_perN,hf_isoN,hf_mgCgsoil,hf_gCperm2,hf_mgNgsoil,hf_gNperm2,hf_CN
135,20,5,ambient,PLRI,0.173225481,-30.93982564,0.016254482,7.437158535,1.708156282,329.0153266,0.160283554,30.87290446,10.65709017
136,20,5,ambient,LYPA,0.124309639,-28.93306408,0.012766313,7.318260255,1.22903129,236.7290017,0.126218674,24.31152163,9.737317362
137,20,5,ambient,LYAN,0.102241862,-26.99065352,0.010606732,7.144950898,1.012125815,194.9499054,0.104999527,20.22441035,9.639336925
138,20,5,ambient,INSP,0.089522005,-25.22941582,0.009728759,6.338860866,0.890219017,171.4689128,0.09674411,18.63429902,9.201790345
139,20,6,ambient,LATR,0.201992323,-24.68193721,0.022690616,8.446786299,1.991442927,383.5803853,0.223706851,43.08913853,8.902020287
140,20,6,ambient,AMDU,0.164946849,-29.15581758,0.01660589,7.870431927,1.63133304,239.9057945,0.164233129,24.15232106,9.933032684
142,20,6,ambient,LYPA,0.092653288,-27.06787474,0.008792708,5.089421317,0.92109335,135.4570934,0.087410877,12.85474852,10.53751407
143,20,6,ambient,LYAN,0.207167948,-29.36222286,0.020965229,7.392557468,2.039124401,299.8760814,0.206357745,30.34721761,9.881501666
144,20,6,ambient,INSP,0.113479925,-26.09838365,0.013955799,8.837739965,1.125093129,165.4575456,0.138364333,20.34802481,8.131381164
145,0,1,elevated,LATR,0.152004423,-26.66733689,0.016287037,6.31048785,1.505396858,238.5311376,0.161300932,25.55824035,9.332846642
146,0,1,elevated,AMDU,0.16246396,-26.24530571,0.019880722,7.540942626,1.605633034,254.4136266,0.196481382,31.13260622,8.17193475
147,0,1,elevated,PLRI,0.14060082,-26.6347971,0.017648319,7.953056155,1.396112273,221.2149221,0.175241047,27.76706094,7.966810841
148,0,1,elevated,LYPA,0.099157508,-26.90398988,0.012320954,8.151555825,0.987221899,156.4259692,0.122668634,19.43692699,8.047875533
149,0,1,elevated,LYAN,0.159806432,-26.59239677,0.017759476,9.195442416,1.577810589,250.0051416,0.175343938,27.783364,8.998375487
150,0,1,elevated,INSP,0.138080349,-30.27432294,0.02226183,8.568615459,1.370756063,217.1972136,0.220998417,35.0173467,6.20256056
151,0,1,elevated,LATR,0.134436032,-27.49562237,0.023086304,9.04457882,1.324388989,222.9258103,0.22743342,38.28239284,5.823194262
152,0,2,elevated,AMDU,0.159400412,-27.06767487,0.027791895,9.89400597,1.574702549,265.0594686,0.27455367,46.21383888,5.735499908
153,0,2,elevated,PLRI,0.181696783,-24.21304813,0.029093199,7.921142913,1.775069088,298.7858689,0.284223182,47.8414452,6.24533535
154,0,2,elevated,LYPA,0.208884185,-26.42378151,0.034426834,8.397976341,2.05694986,346.2330315,0.339012129,57.06371334,6.067481612
155,0,2,elevated,LYAN,0.159330343,-26.65550424,0.025880099,8.694624681,1.569281223,264.1469321,0.254899047,42.90550372,6.156481318
157,0,3,elevated,LATR,0.134618777,-27.78552228,0.019028442,6.958535064,1.330467446,176.53328,0.18806234,24.95308085,7.074608583
158,0,3,elevated,AMDU,0.156725122,-26.12204895,0.02054373,7.40948036,1.55152231,205.863979,0.203375533,26.98491418,7.628854318
